,review
2218,cherry and chocolate flavors abound in this rather simple lbv its clean and well made just doesnt show much depth or complexity finishing on a tart note
2219,cherry and mild sawdust aromas are brought down by sharpness that is almost vinegarlike the palate has an acceptable mouthfeel along with sweet and sour flavors of plum and berry tart on the finish and a bit stemmy and sharp throughout
2220,cherry and plum aromas come with a dusty note however things turn sharper and more brambly with airing it feels citrusy and choppy with sweetandsour flavors of raspberry and red plum juicy but fiery on the finish
2221,cherry and raspberry aromas are spunky and simple in front of a crisp edgy palate medicinal lightly rubbery flavors of cherry and plum finish with a raw rub juicy acidity a lean body and mild heat
2222,cherry and raspberry mark this wine along with spearmint slightly herbaceous and tomato notes and smoky oak its varietally correct and more substantial than most carneros pinots with the kind of meatiness you associate with say russian river the tannins are soft but complex for this robust mediumbodied wine try highquality steaks and chops
2223,cherry and smoke with a burnt rubber edge in the mouth it is thin and watery diffuse and flat
2224,cherry aromas cross over into cough drop country while the palate is a mix of plum and berry flavors with pepper the feel is tight but there isnt much variety of depth not a bad wine but it doesnt develop much momentum
2225,cherry cassis and spice aromas are mild and comported the wine feels chewy and just dense enough with baked cassis berry and herb flavors that finish toasty and hot with a rubbery note clean aromas and full fruit flavors are this wines best attributes
2226,cherry leather and stewed fruits mark this mediumweight chianti tangy with nice fruittoacid balance it shows sweet cherry fruit and a slightly raisiny note with earthy accents soft leather and slight old wood notes on the finish drink now
2227,cherry liqueur dark chocolate espresso and blackberry preserves open the nose of this hearty selection the finish is sweet and soft with loads of chocolate fudge
2228,cherry plum and earth aromas lead into a tart lean palate that struggles to offer more than a modicum of cherry and cassis flavors the finish is sweet and spicy which makes for an odd not terribly appealing combination
2229,cherry rubber and leather aromas are tight and announce a punchy bright raw palate with raspberry and plum flavors snappy and rubbery feeling on the finish this is a fresh monastrell with redfruit tendencies
2230,cherry strawberry and boysenberry fruit tones dance on the nose and mouth of this ripe attractive wine shadings of bramble and sweet spice add depth to the fresh and lively palate ending clean and mouthwatering drink now2016
2231,cherryvanilla surrounds a flank of big oak while classic notes of baked strawberry also come into play a brawny fullbodied expression of the variety given 6 mourvèdre and 6 syrah it has good bones and acidity lurking beneath the power
2232,cheval and champoux snappy and crisply defined this sharpedged wine opens with tight berry flavors some chalky acids and grainy stony tannins it shows less flesh than the other reds more acid and a stiffness to the tannins after extensive airing the vanilla flavors come out along with an interesting spice the fruit is clean and ripe and the balance except possibly for the chalky acids is right on
2233,chewy and tannic this has plenty of barrel flavors but is light on the fruit coffee caramel and toasty components are all here seeming to smother any ripe fruit that might fill out the middle
2234,chiara lungarotti says that this vintage of her vineyarddesignate riserva represents a milestone for her family run estate indeed this is a rich and elegant red wine that shows signature notes of wild berry and spice that reflect her beloved territory umbria
2235,chiaro di stelle is a bright rosé with deep ruby and garnet highlights from an aromatic point of view the wine focuses on wild berries and dried herbs such as sage oregano and basil in the mouth it shows density and silkiness
2236,chocolate and solid fruit flavors in this exemplary wine it is rich the tannins balancing with blackberry fruit flavors the density of the texture suggests good mediumterm aging
2237,chocolate cherries and baking spices make up the flavors of this layered and tasty wine the color is dark the texture is nicely astringent due to assertive tannins and it conveys a sense of something held in reserve
2238,chocolate cherry blackberry and clove linger long on the nose and open the door to more layered nuances of ripe red fruit to come this is a sunkissed wine with plush softness dusty tannins and a sophisticated personality shaped by 18 months of wood aging in barrique and oak casks
2239,chocolatewrapped stogie comes to mind aromatically and in terms of taste in this reserve wine which is otherwise roundly voluptuous peppercorn cedar and plum mingle on the palate before a tannic finish closes things out
2240,chris dowsett makes just a single gewürztraminer each year always from celilo vines planted in 1982 2010 was the coolest vintage in two decades at this highaltitude site if you love searing acidity married to varietal spice rose petals lemons grapefruit star fruit and gooseberries you are in for a treat fermented in neutral french oak and left on the lees this could age for decades
2241,chunky and generic smelling with a nutty oily palate that isnt purely focused or clean the palate has some bitterness and excess weight along with fading lychee and melon flavors not a terrible wine for 9 but the low price doesnt erase its flaws
2242,chunky and mouthfilling but it still has lovable characteristics of briary fruit fullbore acids and a leathery feel the nose is slightly grainy and animal at first but it finds its stride plum and berry flavors are ripe enough and the finish offers some chocolate
2243,chunky and ripe with more power and potency than precision or finesse which still means its pleasant warm and tasty the palate offers ample raisin and toffee while the finish is aptly spicy good heft and texture but short in the midsection
2244,chunky broad and slightly rubbery smelling with baked aromas leather and other more serious scents the palate is fullbodied and warm but not all that complex flavors of baked plums cassis and licorice are nice and the finish brings chocolate brownie into the game for immediate drinking
2245,chunky flat and stemmy on the nose with herbal generic fruit aromas the palate is ok but sort of scratchy while the flavors veer toward herbal roasted cherry and berry herbal and sort of sweet and heavy on the finish pretty much what youd expect for a 10 cab
2246,chunky open aromas start it off and the bouquet is likable if nothing special dense and grapy fruit carries the palate surrounded by spiky tannins an extracted syrah with zero gamy spicy character this is a black ripe wine with size but limits
2247,château potelle started making zinfandel from mount veeder a long time ago theyve had their ups and downs but the winery is back in force the 09 zin is intense with a spicy character the black currant prune and dark chocolate flavors should pair well with fancy beef and game dishes
2248,cignale or wild boar is one of tuscanys best expressions of cabernet sauvignon a small percentage of merlot is added for softness and flavor and the wine oozes darkness blackberry and exotic spice at its core pair it with game meat or spicy pork sausage
2249,cinnamon clove and plum on the nose are followed by like flavors of plum and spice with a touch of vanilla approachable now and good with sharp cheeses
2250,cinnamon pepper and cedar lead on this elegant red flavors of toasted nut smoke and cocoa follow in a pert clean wave pair with lamb smoked meat or robust cheese
2251,citric on the nose with cherry and bland earthy notes the palate has an inoffensive feel and sweet flavors of black cherry and vanilla that sweetness carries onto the finish which is also candied generally decent but highly regular
2252,citric smelling with floral notes and dampness the palate is more thin and grating than expected with red fruit citrus cherry sucking candy and graham cracker flavors finishes a bit edgy and candied and overall its generic with little personality
2253,citrus and honeydew fruit flavors anchor this unoaked chardonnay it has a wonderful leesy texture that enlivens the palate giving the impression of limestone or at least lime pulp flavors linger clean and utterly refreshing
2254,citrus barrel spice and vanilla are the primary aromas on this fresh slightly watery chard from catalonia the palate is dominated by pineapple and green apple flavors while the tail end is clean and quiet
2255,citrus green fruit kiwi and a distant mineral note make up the aromatic characteristics of this pinot grigio from northeast italy youll like the compact and focused nature of the wine and the refreshing impact it leaves on the palate
2256,clarendon hills is best known for its syrah and grenache but it is no slouch when it comes to mclaren vale cabernet the 2008 hickinbotham is full bodied and velvety in texture with ample notes of cocoa and crisp cassis hints of mint and other herbal shadings give it varietal character and welcome complexity drink it over the next 1012 years
2257,classic and harmonious a very solid napa 100 cabernet thats dry and firmly tannic in the mouth feels balanced harmonious ageworthy a wine without seams or faults fruity but not overly so with the blackberries and black currants generously balanced by herbs minerals and cedar very classic and noble wine and one to cellar through at least 2018
2258,classic aromas of black cherry and plum are framed by dried spices and vanilla adding some cedar and mocha flavors on the palate the mouthfeel is crisp and taut finishing tart and fresh without the velvety richness of the best examples but its a solid effort
2259,classic bien nacido pinot this low production wine shows a fine elegantly silky mouthfeel with brisk acidity and red cherry and cola flavors that turn massively spicy on the finish its captivating right now a racy young wine of great pedigree and distinction
2260,classic blackcolored malbec very perfumed its fruit polished by smooth tannins on the palate black damson and bitter chocolate flavors are present its a powerful wine full of firm tannins its dark edge softened by wood
2261,classic bottlefermented wine with yeast and citrus flavors a creamy edge and a bright final acidity the wine is crisp lively with a clean fresh aftertaste
2262,classic dry creek zin dry tannic and spicy shows ripe jammy flavors of cherries raspberries and blackberries that finish a little sweet drink now with barbecue mexican beef dishes or just a great cheeseburger
2263,classic dry creek zin high in alcohol brilliant in fruit and spices and with that curious finish thats both sweet and dry at the same time really dazzles with cherries raspberries blackberries and all kinds of other wild forest berries
2264,classic dundee hills it has concentrated black cherry fruit at the core its smooth supple balanced and forward immediately engaging though with enough stuffing to age through 2019 light streaks of root beer and dark chocolate thread through the finish
2265,classic floral aromas with a touch of spice and refreshing spicy and applepear flavors give this riesling an elegant edge dry and delicate and soft in style pair with poultry or shellfish
2266,classic hunter valley sem if maybe just a little fruitforward like tasting lightbodied lime juice that finishes fresh and clean drink it now with oysters or put some aside for up to 10 years for it to develop toast honey and marmalade aged characters
2267,classic nebbiolo aromas of violet wild berry and a whiff of baking spice float out of the glass on this attractive red the elegantly structured palate offers mature wild cherry cinnamon white pepper and clove alongside firm finegrained tannins drink 20172022
2268,classic oregon pinot with penetrating cherry fruit laced with layers of earth and baking spices sweet ripe very pretty wine with a solid midpalate that resonates through a mediumlong finish quite a bit of oaky vanilla comes through but it marries well with the beautiful fruit
2269,classic petite sirah fullbodied rich totally dry very tannic and fruity so good now with something big like short ribs that it will be difficult to cellar but this is a wine that will soften and sweeten over many years and what a finish long in ripe wild blackberries cherries and coffee
2270,classic riesling all fresh currants and stone fruits with a touch of spice finishing full and rich this wine comes from the kapuzinerberg vineyard on the southern slopes of the krems hills screwcap
2271,classic rutherford cab dry dusty and slightly herbal with refined jammy flavors of red and black cherries currants mocha and cedar the alcohol is a little high giving this 100 cabernet a warm fullbodied feel the tannins suggest midterm aging 20132018
2272,classic spicy muscat flavors show on a dry wine giving notes of spiced pears baked apples nutmeg and the crispest acidity think light and fresh gewürztraminer but with acidity and you are not far off glass stopper
2273,classic varietal aromas of hay tomato vine and tropical fruit take center stage in this expressive white accented with a whiff of wet stone the savory palate doles out juicy grapefruit green melon yellow peach and mineral flavors with tangy acidity
2274,classically structured this still needs to open up but already offers aromas of dark berry menthol toast dried herbs and a whiff of cocoa the firm palate delivers red cherry raspberry mocha tobacco and licorice accompanied by bracing tannins and fresh acidity
2275,clean and focused up front with appealing cola cherry and plum aromas if you like wild berry flavors and juicy borderline aggressive acidity then deyo fits your request its a fairly rough spunky wine with finishing notes of espresso and bitter chocolate should match well with salty robust foods
2276,clean and fragrant this blend of riesling pinot gris and gewürztraminer exhibits notes of pear and tangerine on the nose followed by an unctuous flowery palate that folds into a medium finish of quince and melon rind a good partner with asian fusion cuisine drink now
2277,clean and subtle with intriguing musk scents and a mediumweight palate with orange peel and lemon fruit while the palate is a bit lazy theres a hit of acidity on the finish to keep things fresh drink now
2278,clean and tasty this crisp dry chard has modest peach apple and tropical fruit flavors its a nice country wine at a fair price
2279,clean and varietal the fruit tastes of ripe apples pears and maybe a little bit of pineapple and if there is new oak it has been gracefully melded into the wine so it does not stick out just a hint of sweet toast adorns the smooth lingering finish then fades with a lick of butterscotch at the tail end a graceful elegant debut for this new walla walla winery
2280,clean and varietal this firm and juicy pinot noir offers light forward raspberry and plum fruit dusted with cinnamon and cocoa medium concentration and length
2281,clean and varietal with coolsite flavors of lemon and lime bracing acidity and cool green fruit throughout
2282,clean blueberry fruit and cassis fruit is buttressed with streaks of rock graphite and coffee grounds it has a lighter profile than many washington syrahs but offers wonderful details of fresh green leaf and herb with that powerful blueberry compote fruit filling out the finish
2283,clean but rugged with meaty solid aromas cherry berry and cola create a sturdy fruity attack while the finish is round and medium in size a pedestrian good red for everyday drinking
2284,clean crisply defined green apple and pear fruit flavors anchor this highacid pinot gris a fine choice with creambased sauces or seafood that needs something to cut through the flavor more bottle age could round it out
2285,clean dry and oaky with modest flavors of peaches and pears and a good finish a good value
2286,clean dry and tart in acids this is a minerally chard with citrus and kiwi flavors it has some oak that adds richness but its not really a rich wine its more of a streamlined sleek sipper
2287,clean expressive eleganteverything comes together superbly in this beautiful blend from radford dale exhibiting the perfect balance of restrained minerality meaty smoky spice and full delicious fruit the wine ends with studied finesse pure class throughout
2288,clean fresh and layered up front with peach cherry and nectarine flavors and then apricot on the finish the feel is good throughout with no excess weight or sweetness an uncomplicated nofrills rosé which is what navarra and señoría de sarria do best
2289,clean fresh and oozing apple and citrus on the nose the palate mixes some body with spritz to good results and the flavors of driving lemon citrus and nectarine work well together a forward snappy white for garlicky appetizers and olives
2290,clean fresh and simple you could pair this wine with spring rolls or indian samosas those exotic spicy foods would match the simple crispness and freshness of this informal italian sparkler
2291,clean light and fresh its the perfect white wine for a picnic lithe lucid flavors of tangerine and pink grapefruit are sweet and ripe and worthwhile the stony citric tail is good too
2292,clean tart and expressive this has flavors of asian pear orange lime vanilla and gooseberry bright and zesty this would make for a fine apéritif and it would also pair well with asian fare
2293,clean white wine with whitefruit aromas and some prickle the palate is linear and simple with nectarine citrus pith and tangerineorange on the finish a good basic wine with onedimensionality perfect for party time quaffing
2294,clear in color and texture this is a refined and yet voluptuous wine a blend from several of the producers singlevineyard designates from ridgetop vineyard near annapolis to gaps crown within the petaluma gap it works on several levels retaining the acidity of the cooler sites while combining the deeper more complex aspects of others expect dark cherry and blueberry along a foundation of earthy truffle
2295,cline makes interesting offbeat red blends and this composite of syrah zinfandel petite sirah alicante bouchet and mourvèdre comes from vineyards scattered all over california its a hearty lusty wine expressive in peppery cherry and mulberry flavors and nicely dry youll be surprised at how rich it is at this price
2296,closed aromas of red fruits wet cement and green herbs precede a flat fairly tannic palate grinding cherry and plum flavors finish with hard tannins and midland rubbery redfruit flavors
2297,closed with an innovative glass cork moscabianca offers floral tones of honeysuckle and jasmine it delivers rich density and a smooth creamy texture and loads of fresh peach and apricot flavors
2298,cloudy in color with tart rhubarb aromas the palate shows some acidity and tang with pink grapefruit flavors offering a shrill kick but overall the wine has seen better days and has become limited in scope at this point
2299,clover dried grass oriental spice rhubarb and intense balsam notes highlight a cherryvanilla driven wine thickly concentrated with very solid tannins and mineral notes woven throughout a long finish imported by michael skurnik wines
2300,clumsy and simple with a tart tobaccoey taste thats vaguely reminiscent of canned peaches
2301,coarse tannins and tones of smoke sundried hay and cocoa powder add a bold brawny dimension to the fleshy ripe plum and cherry flavors on this wine a pretty note of violet perfume and bright acidity persist from start to finish adding shades of elegance
2302,coconut and vanilla aromas ride front and center on the oaky nose although berry fruit rises up with time the palate is bulky and saturated almost what youd call thick while the flavors lean toward roasted berry plum and woodspice vanilla and additional wood accents work the finish
2303,coconut chocolate and coffee make for sweet and savory companions in this mushy grippy and satisfying wine big on power and concentration it has an underlay of brown sugar
2304,coconut is the lead aroma but theres graphite cool earth cola blackberry and raw oak on the bouquet feels structured and lush with tight tannins and robust flavors of clove coconut blackberry and tobacco quite oaky late with barreldriven flavors driving the finish
2305,cofermented with 20 viognier this fresh and lively roussanne is a standout in the lineup of new releases from whidbey island mix of citrus rind mineral wet stone and plenty of lime
2306,cofermented with about 3 viognier this estategrown syrah is done in a style quite different from anywhere else on the west coast its racy and almost delicate with none of the jammy fruit of california or the funk of washington but what it does have is grace and detailstarting with plums and cherries and bringing in loads of spice and chocolate hints of coffee grounds and a whiff of tobacco its all elegantly displayed lingering and polished with surprising length
2307,coffee bean leather and tobacco tones are surrounded by delicate aromas of wild berry violet and spice the tannins are tight and bone dry making for a good pairing with cheese fondue
2308,coffee wood grain and berry fruit combine to create a standard trio of aromas while the palate is medium in weight with strawberry raspberry and vanilla flavors this wine offers a reasonably good mouthfeel and finishing notes of coconut dill and vanilla good but ordinary imported by dana importers inc
2309,cola and earthy berry aromas float over a slightly herbaceous note this blend is narrow and tannic on the palate with berry spice and herbal flavors the finish shows pleanty of oak in the form of mocha and coffee flavors
2310,cola black licorice cherry liqueur and rum cake presage loads of ripe fruit and power yet its lean and compact on the finish with bright acidity that would pair well with pecorino stagionato or any aged cheese
2311,cola cherries dried violets iodine and a slight bit of forest floor funk introduce the nose to this topend bottling from the biodynamicminded winery there is quite a bit of aromatic spice on the palate from wild mint to pine and juniper all set against a cranberry fruit character the tannins are light and acidity is just right
2312,cola leather and cherry aromas and flavors in that order there are tough tannins in this dry wine
2313,cola spice marzipan crushed black pepper and licoricethis delicious win has it all it even offers a touch of smoked ham warm tobacco and leather it has a lively feel in the mouth thanks to bright acidity and warm cherry flavors
2314,cola tree bark and rooty aromas become more oaky and toasted with airing it feels solid and correct with balanced tannins and acids that stage red plum cassis coffee and toasted flavors staying toasty and composed on the finish this is a ripe cabernet sauvignon that delivers
2315,coldisole opens with oakdriven aromas of coffee bean smoked bacon dark spice and savory bresaola and fruit aromas that resemble dried prune cassis and plum cake the wine excels in the mouth where it displays silky polished feel
2316,color is on the salmon pink side signalling fresh acidity and flavors of apples and citrus to go with the red fruits easy drinking
2317,columbia crest always does a fine job with this budget grape the accent is on greenapple and greenberry fruit with suggestions of herb and spice filling in the flavor interest its a high acid foodready wine that will accompany a wide variety of shellfish oily steakfish and some creamsauced pastas
2318,colutta is a fun and consistent producer from northeast italy who works with a long list of indigenous grapes this sparkling ribolla gialla is redolent of exotic spice stone fruit and dried herb theres a very perky and sharp quality to the close
2319,combines rich flavors of blackberry black cherry and cola onto and a fullbodied palate with crisp acidity and some unevenly ripened fruit which results in rusticity its a big wine to drink now with tuna lamb and steak
2320,comes across a bit baked syrupy and sweet on the nose with a hint of stalkiness and stem the palate has a lush early feel but further inspection unveils a hollow core flavors veer toward earthy raspberry while the finish is chunky and properly reflects what came before it
2321,comes across as slightly light on fruit and herbal but delivers a plump mouthfeel in the end theres enough cherry fruit to give it a charming personality
2322,comes down on the dry acidic minerally side of the chardonnay street fans of opulence will find it lacking but its so clean and subtle in pineapple tart tangerine and buttered toast flavors it recommends itself as one of the more elegant and foodfriendly chards out there
2323,comes down on the hard rough side of the petite sirah spectrum with jagged tannins and dry flavors of cola green mint blackberries bacon and black pepper that turn bitter toward the finish
2324,comes down on the rustic tannic side with very ripe almost overripe blackberry and cherry flavors that taste jammy decent but not an ager so drink now
2325,comes from a vineyard in queensland that is 850 meters above sea level smells like white chocolate and juicy peaches with peach and lemon taking over on the palate its soft in the mouth with the lemon contributing some sourness that lasts through the finish imported by downunder imports lls
2326,coming from mcclellan estate anna marie and seven hills vineyards this wine is a blend of cabernet sauvignon 61 merlot 31 and petit verdot it springs up with aromas of boysenberry plum dried herbs and coffee the blue fruit flavors are sweet and luscious supported by a soft tannic structure
2327,coming from one of the regions more picturesque vineyards this bottling which is enhanced with 19 picpoul blanc 2 roussanne and 2 viognier leans a tad tropical on the nose with orange peel cutting into banana apple custard and tuberose theres sizzling acidity throughout the palate with flavors of lemon curd apple peel and grapefruit pith
2328,coming from seven different vineyards spread across the columbia valley this winewhich includes 13 sauvignon blancbrings notes of fig browned butter and candy corn its full bodied with a creamy texture and a warm finish
2329,coming from the north of the vinho verde region this is a blend of alvarinho with trajadura a hint of honey comes along with almonds ripe apples and oranges aromatic softly textured and ready to drink its a sophisticated dry vinho verde
2330,common but clean aromas of tea and black cherry give this fullerbodied pinot a good start the palate is semisoft and plump with ripe fat black fruit flavors of plum and black tea a meaty round wine with good acidity and structure drink now through 2011
2331,common cherry and berry aromas lead to a fruitpunch palate with some stickiness this tastes ripe with nothing distinguished beyond basic berry flavors sweet plum and berry notes steer the finish
2332,compact and candied on the bouquet with dusty red berry aromas feels blocky and tannic but healthy with cassis and blackberry flavors touched up by typical chilean herbal notes a flavorful wine for everyday drinking
2333,compared to a lush napa cab this has a distinct green olive and frenchcured olive character it must be the terroir but oak toasted and spicy plays an important part finally theres cabernets inherent currant flavor the wine is thoroughly dry and balanced with smooth tannins its a unique cabernet but in its own way very fine
2334,compared to neil elliss elgin chard this one from the warmer stellenbosch region has more banana and other white fruit components but less acidity plenty of oak character shows through even some popcorn on the nose finishes with a dash of spicy white fruit imported by vineyard brands
2335,compared to the estates vigna cannubi cru this expression of nebbiolo offers slightly more structure density and staying power the aromas here recall black cherry plum spice and spanish cedar the mouthfeel is rich supple and very clean drink after 2014
2336,compared with the the regular bottling this reserve has a touch more concentration to the black cherry fruit it pays for it with some hard rather stemmy tannins that can turn bitter give this some extra time to breathe after being opened
2337,complex and compelling this has a luscious mix of fruits that run the riesling gamut its creamy and textural fresh and primary with exceptional aging potential and fine juicy natural acidity
2338,complex and dense this has a dry firmly tannic structure with rich blackfruit and dark chocolate flavors spice and wood notes surface on the finish
2339,complex and finessed this has loads of flavor the pretty cherry and plum notes are framed with a milk chocolate accent the modest alcohol in no way diminishes the concentration
2340,complex and meaty on the nose blending layers of dried spices roasted meat and spring flowers adds cola clove and crisp cherry flavors on the palate before finishing firm almost tough give it a few years imported by negociants usa inc
2341,complex and rich it has ripe red fruits that are full of sweetness as well as some fresher acidity with red plum minerality and vanilla it can age for a few months wait until 2015
2342,complex aromas of olive dried leaves kirsch and cassis set up a spunky acidrich palate thats integrated and well balanced flavors of vanilla herbs tobacco and earthy plum and raspberry finish with elegance and thoroughness this intense pure gran reserva will age well for another 15 years maybe longer
2343,composed berry spice herb and oak aromas are complete and inviting in the mouth this is ripe and dense with chewy tannins blackberry mixed herb and dark chocolate flavors are integrated while this settles nicely on the finish
2344,composed on the nose this has a berry aroma and a controlled herbalolive scent it feels solid and round with berry and herb flavors the finish shows a hint of oak and chocolate
2345,compost aromas blend with thicker richer raisiny notes this feels deep and almost heavy on the palate where the acidity is modest and stewed with hints of herbal flavor black currant and blackberry come across fully ripe notes of coffee herbs and salt dictate the finishing flavors on this huge malbec
2346,concannon has an historic stake in livermore valley petite sirah hence the name conservancy and with this wine they do themselves and it credit dry and fullbodied its a peppery tannic wine with satisfying blackberry and leather flavors will gradually unfold over many years
2347,concentrated and complex this is a layered and packed wine dark chocolate black cherry and pomegranate flavors are animated by a lively current of fine tannins fresh acidity and full body it includes 24 cabernet sauvignon delicious now but will improve through at least 2018
2348,concentrated and earthy up front with aromas of blackberry boysenberry graham cracker leather and a whack of robust oak just for good measure feels big and chewy with broad oaky flavors of black fruit herb tea and exotic spice finishes heavy but gentle in feel drink now through 2014
2349,concentrated and jammy smelling with a note of iodine to go with racy black fruit aromas dense as night in the mouth with gamey roasted berry flavors turns minty on the finish with a hint of herbal green fruity and nice but lacks that final gear
2350,concentrated and powerful this wine is rich and full in the mouth with wonderful ripe fruits over the great tannins it is solid dark and dense full of smoky flavors and a rich strawberry flavor drink from 2022
2351,concentrated and structured this wine also manages to be sleek and glossy but by no means weightless it opens with aromas of blue flowers cedar black currant and herb while the dense palate doles out black currants blackberries and licorice tightly packed but finegrained tannins provide the framework drink 20172027
2352,concentrated and stylish this is a potent merlot with sharp ripe tight fruit flavors compact plum black cherry and cassis fruit is wrapped in juicy acids and plenty of coffeeflavored barrel toast still young and a bit hot this wine needs several hours of breathing time to really open up
2353,concentrated apricot and peach aromas lead the way followed by stone fruit and citrus on the palate this is slightly drier and higher in alcohol 85than many eisweins yet still lusciously sweet with a suggestion of citrus pith on the finish
2354,concentrated blackberry and black currant aromas are ripe and come with a balsamic note it feels juicy full lively and fresh with oaky darkplum flavors accented by rooty herbal notes dry tannins mark the finish
2355,concentrated muscular aromas of leathery blackberry set up a full grinding powerful palate with dark earthy flavors of toast blackberry and black plum a peppery spicy finish simmers with mild heat and burn
2356,concentrated on the nose with wild berry and cassis aromas feels fresh and grippy due to firm tannins with snappy red berry plum and mild oak flavors not all that complex and showing little more than bright pleasant fruit flavors and firmness
2357,concentrated potent aromas of earthy blackberry and cassis bring notes of briar patch prune and exotic spices the palate is full and oaky but fresh with flavors of berry cassis herb and wood grain a heavy finish with overt oak and related spice is modern in style drink through 2017
2358,concentrated ripe blackberry and cassis aromas come with peppery spice and cedary oak notes this is big and generous on the palate with roasted welloaked blackberry flavors a touch of heat lends sizzle to the finish drink through 2020
2359,concentrated rose petals hibiscus and purple fruits meld with lavarock aromas all boosted by a touch of cola and smoke tart plum skins and montgomery cherries play into the complex palate which also shows turned earth and beefjerky flavors
2360,concentrated tannic and earthy the reserve shows dense black cherry fruit sweet plum hints of leaf forest floor and damp earth firm tannic and substantial give it plenty of breathing time
2361,concentrated thick and dark in appearance this lush chianti classico shows a dark ruby color and flavors of black cherry cassis and cola it feels a warm in the mouth with a powerful finish
2362,concentrated willing aromas of black cherry and sweet plum are nice and friendly while the palate is lively juicy and a little tart for garnacha with an emphasis on red raspberry the wine dries out a bit on the finish leaving vanilla and spice good enough for a basic aragonese red
2363,concha y toros new foray into northerly limarí has resulted in a new line of wines called maycas this wine shows a combination of tropical and coastal characteristics on one hand theres banana and pineapple flavors on the other theres peach and apple and theres definitely a coastal ring to the wines mouthfeel its racy crisp and a little bit jumpy
2364,confusingly the wine has no connection with château magnol also owned by barton guestier its a soft médoc wine light and gentle in character the tannins soft merging with the red berry fruits
2365,coniglio specializes in appellationspecific bottlings from napa valley with this cab they have captured the essence of diamond mountain its a sturdy tannic ageworthy wine with the density of flavors and complex structure that lowyielding mountain grapes give rich and appealing it should develop over the next decade
2366,considerable noble rot both in its aromas and in its palate give this wine richness and a textured sweet and dry character honeyed with bitter marmalade and dried apricot flavors it is still young drink from 2017
2367,considerable toasted wood flavors show from both the aroma and the initial taste the fruit is lean without the weight needed for balance its likely to remain an austere wine
2368,consistency in the wine world is a virtue and cheval covers the consistency issue with ease aromas of earth mushroom leather and so forth add an old world touch to this new world malbeccabernet blend its healthy and even juicy on the palate with blackberry dark plum and tobacco flavors an interesting wine that grabs and holds your attention drink now through 2012
2369,consistent on the palate with red apple white peach and hay flavors in a round foodfriendly size has some unctuousness and light resin aromas that makes it feel more like a semsauv blend
2370,consistent with recent vintages this lovely sémillon opens immediately into a creamy leesy expressive core scents of green apple lemon and beeswax turn into lush fruit flavors of melon pear and citrus it shows far more complex and interesting fruit character than most unoaked chardonnayshere the acids are not intrusive but come up naturally in the back of the throat
2371,consistently a very good cabernet with big broad roasted aromas backing solid black fruit the palate is rich rugged and powerful with mildly baked plum and blackberry flavors oak and vanilla show up on the finish which is round and the slightest bit herbal drink now through 2012
2372,consistently among italys topscoring wines this vintage of the celebrated ornellaia a blend of cabernet sauvignon merlot cabernet franc and petit verdot is a gorgeous expression of the very best of european enology it delivers extraordinary richness succulence and intensity but remains elegant to the end aromas include black cherry spice and dark chocolate
2373,consumers who associate the jacobs creek brand solely with inexpensive quaffing wines should take a look at some of the companys highend offerings such as the st hugos cabernet the 2003 features plenty of body a creamy velvety texture and bright cherry fruit darker notes of cassis lend depth embellished by hints of eucalyptus tobacco and vanilla drink now2015 imported by pernod ricard usa
2374,continues the solid trend of this label producing some of the best values in california dry crisp and delicious with mineralinfused flavors of oranges honeysuckle and buttered toast a blend of malvasia bianca muscat canelli viognier and roussanne best buy
2375,continuing on a path of steady improvement hogues valuepriced highvolume cabernet shows sappy grape and purple fruits both in aroma and flavor with blueberries dominant tangy acid smooth tannins and a supple mediumweight midpalate make this a solid choice for hearty meals
2376,cool berry graphite cola and prune are the lead aromas on this ripe rdd in the mouth choppy tannins and firm acids create a strong edgy feel flavors of cassis wild berry coconut and vanilla announce ripeness and plenty of oak it finishes with abrupt tannins tons of residual flavor and weight drink now through 2021
2377,cool climate all the way from the brisk metallic acidic mouthfeel to the flavors of citrus zest with a hint of peach the winemaker has added notes of lees and delicate oak that enrich the wine and bring it to completion
2378,cool crisp and tonic from start to finish this is an easydrinking wine with ample sweet apple and wildflower notes with shades of smoke hazelnut skins and delicate limejuice acidity drink now
2379,corisons cabernets are always tight in youth and this 09 is made in that tough tannic style its bone dry with subtle flavors of blackberry red currant and dusty earth with a coating of smoky cedar give it 45 years in the cellar tasted twice
2380,corte pavone delivers a very distinctive and sweetsmelling wine that exhibits notes of hazelnut chestnut allspice nutmeg and ground ginger the wine is definitely on the ripe and juicy side but it closes with thick density long persistency and candied fruit flavors
2381,cos is a nod to the three friends who founded the winery giambattista cilia giusto occhipinti and cirino strano this beautiful nero davola opens with bright berry aromas toasted pistachio nut and bright accents of chopped herbs
2382,coste di rose is a gorgeous barolo with impressive elegance and complexity aromas touch on delicate hints of violets spice cola and cedar and are beautifully unified and integrated overall the texture is thick and dense yet the quality of the tannins is particularly polished and tight dont open this bottle before 2015
2383,cotton candy and warm dusty aromas give the wine pleasant semisweet opening aromas the palate is round and solidly formed with creamsicle flavors and a bit of brown sugar or treacle a good wine with just a touch of sweetness in the middle must be a touch of residual sugar here
2384,cotton candy notes overlap with licorice and spice aromas to create a very enticing bouquet the luxurious concentrated palate serves up flavors of brown sugar and honey set aside a good amount of time to enjoy the finish
